"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"39940","49.407904","162.159.138.60","10.100.102.10","TCP","60","443  >  51208 [ACK] Seq=1 Ack=1149 Win=65536 Len=0","0.007924000"
"39945","49.410371","10.100.102.10","162.159.138.60","TLSv1.3","118","Change Cipher Spec, Application Data","0.000848000"
"39950","49.411247","10.100.102.10","162.159.138.60","TCP","54","51209  >  443 [ACK] Seq=658 Ack=2992 Win=263168 Len=0","0.000093000"
"39952","49.414988","162.159.138.60","10.100.102.10","TCP","60","443  >  51207 [ACK] Seq=294 Ack=2500 Win=65536 Len=0","0.006270000"
"39953","49.416836","162.159.138.60","10.100.102.10","TCP","60","443  >  51208 [ACK] Seq=294 Ack=2545 Win=65536 Len=0","0.005870000"
"39962","49.423892","162.159.138.60","10.100.102.10","TCP","60","443  >  51209 [ACK] Seq=2992 Ack=1989 Win=65536 Len=0","0.006514000"
"39977","49.436830","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=5874 Ack=19992 Win=263168 Len=0","0.000112000"
"40047","49.648066","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=3516 Ack=3558 Win=261888 Len=0","0.000118000"
"40068","49.687054","10.100.102.10","162.159.138.60","TCP","54","51209  >  443 [ACK] Seq=1989 Ack=4706 Win=263168 Len=0","0.000149000"
"40069","49.691117","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=9791 Ack=218696 Win=263168 Len=0","0.048746000"
"40079","49.754371","10.100.102.10","162.159.138.60","TCP","54","51207  >  443 [ACK] Seq=2500 Ack=3674 Win=263168 Len=0","0.000206000"
"40143","49.851490","10.100.102.10","162.159.138.60","TCP","54","51208  >  443 [ACK] Seq=2545 Ack=4996 Win=263168 Len=0","0.000161000"
"40147","49.851890","10.100.102.10","162.159.138.60","TCP","54","51208  >  443 [ACK] Seq=2545 Ack=8562 Win=263168 Len=0","0.000215000"
"40149","49.855397","10.100.102.10","162.159.138.60","TCP","66","[TCP Dup ACK 40147#1] 51208  >  443 [ACK] Seq=2545 Ack=8562 Win=263168 Len=0 SLE=7499 SRE=8562","0.000081000"
"46444","52.137453","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=218696 Ack=11344 Win=65536 Len=0","0.006808000"
"46447","52.411181","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=11344 Ack=220737 Win=263168 Len=0","0.000139000"
"49259","59.488211","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51187 [ACK] Seq=19992 Ack=5874 Win=65536 Len=0 SLE=5873 SRE=5874","0.040267000"
"49261","59.685832","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51184 [ACK] Seq=3558 Ack=3516 Win=65536 Len=0 SLE=3515 SRE=3516","0.034192000"
"49263","59.706645","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51209 [ACK] Seq=4706 Ack=1989 Win=65536 Len=0 SLE=1988 SRE=1989","0.007274000"
"49265","59.773106","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51207 [ACK] Seq=3674 Ack=2500 Win=65536 Len=0 SLE=2499 SRE=2500","0.012658000"
"49268","59.887106","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51208 [ACK] Seq=8562 Ack=2545 Win=65536 Len=0 SLE=2544 SRE=2545","0.033579000"
"49279","62.454173","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51168 [ACK] Seq=220737 Ack=11344 Win=65536 Len=0 SLE=11343 SRE=11344","0.034280000"
"56987","69.497838","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51187 [ACK] Seq=19992 Ack=5874 Win=65536 Len=0 SLE=5873 SRE=5874","0.007541000"
"58469","69.726773","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51209 [ACK] Seq=4706 Ack=1989 Win=65536 Len=0 SLE=1988 SRE=1989","0.020039000"
"58470","69.726773","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51184 [ACK] Seq=3558 Ack=3516 Win=65536 Len=0 SLE=3515 SRE=3516","0.035141000"
"58472","69.790852","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51207 [ACK] Seq=3674 Ack=2500 Win=65536 Len=0 SLE=2499 SRE=2500","0.006352000"
"58475","69.899800","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51208 [ACK] Seq=8562 Ack=2545 Win=65536 Len=0 SLE=2544 SRE=2545","0.006423000"
"58489","72.471802","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51168 [ACK] Seq=220737 Ack=11344 Win=65536 Len=0 SLE=11343 SRE=11344","0.007234000"
"66129","79.506187","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51187 [ACK] Seq=19992 Ack=5874 Win=65536 Len=0 SLE=5873 SRE=5874","0.007196000"
"67831","79.737392","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51184 [ACK] Seq=3558 Ack=3516 Win=65536 Len=0 SLE=3515 SRE=3516","0.006249000"
"67832","79.737392","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51209 [ACK] Seq=4706 Ack=1989 Win=65536 Len=0 SLE=1988 SRE=1989","0.006249000"
"67834","79.811106","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51207 [ACK] Seq=3674 Ack=2500 Win=65536 Len=0 SLE=2499 SRE=2500","0.017862000"
"67837","79.907982","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51208 [ACK] Seq=8562 Ack=2545 Win=65536 Len=0 SLE=2544 SRE=2545","0.005799000"
"67873","82.339808","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=220737 Ack=12703 Win=65536 Len=0","0.006983000"
"67877","82.649111","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=12703 Ack=223957 Win=263168 Len=0","0.000102000"
"67879","82.649570","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=12703 Ack=223984 Win=263168 Len=0","0.000059000"
"67882","82.716257","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=19992 Ack=7327 Win=65536 Len=0","0.008099000"
"67895","82.901890","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=223984 Ack=14004 Win=65536 Len=0","0.008097000"
"67896","82.901890","162.159.138.60","10.100.102.10","TCP","60","443  >  51208 [ACK] Seq=8562 Ack=3849 Win=65536 Len=0","0.007405000"
"67897","82.901890","162.159.138.60","10.100.102.10","TCP","60","443  >  51207 [ACK] Seq=3674 Ack=3826 Win=65536 Len=0","0.007071000"
"67898","82.902356","162.159.138.60","10.100.102.10","TCP","60","443  >  51184 [ACK] Seq=3558 Ack=4887 Win=65536 Len=0","0.006930000"
"67899","82.902356","162.159.138.60","10.100.102.10","TCP","60","443  >  51209 [ACK] Seq=4706 Ack=3295 Win=65536 Len=0","0.006519000"
"67906","83.160945","10.100.102.10","162.159.138.60","TCP","54","51208  >  443 [ACK] Seq=3849 Ack=9856 Win=261888 Len=0","0.000201000"
"67909","83.176449","10.100.102.10","162.159.138.60","TCP","54","51209  >  443 [ACK] Seq=3295 Ack=5969 Win=261888 Len=0","0.000198000"
"67910","83.201175","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=14004 Ack=225095 Win=261888 Len=0","0.040431000"
"67915","83.217613","10.100.102.10","162.159.138.60","TCP","54","51207  >  443 [ACK] Seq=3826 Ack=6515 Win=263168 Len=0","0.000296000"
"67921","83.259793","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=7327 Ack=24057 Win=263168 Len=0","0.000116000"
"67995","83.441825","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=4887 Ack=9621 Win=263168 Len=0","0.000228000"
"67997","83.442044","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=4887 Ack=9706 Win=262912 Len=0","0.000073000"
"68001","83.452268","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=4887 Ack=12375 Win=263168 Len=0","0.000131000"
"74067","93.168100","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51168 [ACK] Seq=225095 Ack=14004 Win=65536 Len=0 SLE=14003 SRE=14004","0.007828000"
"74069","93.182138","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51208 [ACK] Seq=9856 Ack=3849 Win=65536 Len=0 SLE=3848 SRE=3849","0.007023000"
"74071","93.197221","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51209 [ACK] Seq=5969 Ack=3295 Win=65536 Len=0 SLE=3294 SRE=3295","0.006527000"
"74073","93.228456","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51207 [ACK] Seq=6515 Ack=3826 Win=65536 Len=0 SLE=3825 SRE=3826","0.006747000"
"74075","93.276455","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51187 [ACK] Seq=24057 Ack=7327 Win=65536 Len=0 SLE=7326 SRE=7327","0.008076000"
"74077","93.466616","162.159.138.60","10.100.102.10","TCP","66","[TCP Keep-Alive ACK] 443  >  51184 [ACK] Seq=12375 Ack=4887 Win=65536 Len=0 SLE=4886 SRE=4887","0.011831000"
"74993","95.302563","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=225095 Ack=15363 Win=65536 Len=0","0.007608000"
"74998","95.729284","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=15363 Ack=228936 Win=263168 Len=0","0.000174000"
"75001","95.769932","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=24057 Ack=8780 Win=65536 Len=0","0.007042000"
"75008","95.895112","162.159.138.60","10.100.102.10","TCP","60","443  >  51184 [ACK] Seq=12375 Ack=6191 Win=65536 Len=0","0.006867000"
"75009","95.895112","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=228936 Ack=16664 Win=65536 Len=0","0.007221000"
"75010","95.895498","162.159.138.60","10.100.102.10","TCP","60","443  >  51208 [ACK] Seq=9856 Ack=5175 Win=65536 Len=0","0.007048000"
"75011","95.895498","162.159.138.60","10.100.102.10","TCP","60","443  >  51207 [ACK] Seq=6515 Ack=5197 Win=65536 Len=0","0.006762000"
"75012","95.896382","162.159.138.60","10.100.102.10","TCP","60","443  >  51209 [ACK] Seq=5969 Ack=4601 Win=65536 Len=0","0.007102000"
"75024","96.013181","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=8780 Ack=28705 Win=263168 Len=0","0.000208000"
"75046","96.162130","10.100.102.10","162.159.138.60","TCP","54","51209  >  443 [ACK] Seq=4601 Ack=7233 Win=263168 Len=0","0.000521000"
"75066","96.187652","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=16664 Ack=230047 Win=261888 Len=0","0.053142000"
"75069","96.198249","10.100.102.10","162.159.138.60","TCP","54","51208  >  443 [ACK] Seq=5175 Ack=12569 Win=263168 Len=0","0.000139000"
"75076","96.238415","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=6191 Ack=13669 Win=261888 Len=0","0.000175000"
"75120","96.248989","10.100.102.10","162.159.138.60","TCP","54","51208  >  443 [ACK] Seq=5175 Ack=12596 Win=263168 Len=0","0.048898000"
"75161","96.443858","10.100.102.10","162.159.138.60","TCP","54","51207  >  443 [ACK] Seq=5197 Ack=11655 Win=263168 Len=0","0.000196000"
"75188","96.444571","10.100.102.10","162.159.138.60","TCP","54","51207  >  443 [ACK] Seq=5197 Ack=15391 Win=263168 Len=0","0.000069000"
"75190","96.447903","10.100.102.10","162.159.138.60","TCP","66","[TCP Dup ACK 75188#1] 51207  >  443 [ACK] Seq=5197 Ack=15391 Win=263168 Len=0 SLE=15364 SRE=15391","0.000065000"
"83134","105.608580","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=230047 Ack=18023 Win=65536 Len=0","0.007824000"
"83142","105.924074","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=18023 Ack=233742 Win=263168 Len=0","0.000213000"
"83151","106.019118","162.159.138.60","10.100.102.10","TCP","60","443  >  51187 [ACK] Seq=28705 Ack=10233 Win=65536 Len=0","0.007420000"
"83158","106.133619","162.159.138.60","10.100.102.10","TCP","60","443  >  51207 [ACK] Seq=15391 Ack=6501 Win=65536 Len=0","0.006378000"
"83159","106.134615","162.159.138.60","10.100.102.10","TCP","60","443  >  51168 [ACK] Seq=233742 Ack=19324 Win=65536 Len=0","0.007892000"
"83160","106.134615","162.159.138.60","10.100.102.10","TCP","60","443  >  51208 [ACK] Seq=12596 Ack=6546 Win=65536 Len=0","0.006792000"
"83161","106.134615","162.159.138.60","10.100.102.10","TCP","60","443  >  51184 [ACK] Seq=13669 Ack=7517 Win=65536 Len=0","0.007077000"
"83162","106.136783","162.159.138.60","10.100.102.10","TCP","60","443  >  51209 [ACK] Seq=7233 Ack=5907 Win=65536 Len=0","0.008411000"
"83170","106.272923","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=10233 Ack=30888 Win=263168 Len=0","0.000102000"
"83173","106.392690","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=10233 Ack=33579 Win=263168 Len=0","0.000169000"
"83177","106.393088","10.100.102.10","162.159.138.60","TCP","54","51207  >  443 [ACK] Seq=6501 Ack=16685 Win=261888 Len=0","0.000139000"
"83180","106.397617","10.100.102.10","162.159.138.60","TCP","54","51209  >  443 [ACK] Seq=5907 Ack=8494 Win=261888 Len=0","0.000163000"
"83184","106.443678","10.100.102.10","162.159.138.60","TCP","54","51187  >  443 [ACK] Seq=10233 Ack=33606 Win=263168 Len=0","0.050729000"
"83188","106.445003","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=7517 Ack=16731 Win=263168 Len=0","0.000111000"
"83190","106.446303","10.100.102.10","162.159.138.60","TCP","54","51184  >  443 [ACK] Seq=7517 Ack=16758 Win=263168 Len=0","0.000078000"
"83207","106.458622","10.100.102.10","162.159.138.60","TCP","54","51168  >  443 [ACK] Seq=19324 Ack=234853 Win=261888 Len=0","0.054558000"
"83457","106.886837","10.100.102.10","162.159.138.60","TCP","54","51208  >  443 [ACK] Seq=6546 Ack=21255 Win=263168 Len=0","0.000257000"
